熱負荷[kW],処理負荷[kW],負荷率（実質）[-],低圧[MPa],高圧[MPa],圧縮機消費電力[kW],室外機ファン消費電力[kW],室内機消費電力（合算）[kW],圧縮機COP[-],システムCOP[-],室内機1処理負荷[kW],室内機1顕熱比[-],室内機2処理負荷[kW],室内機2顕熱比[-],室内機3処理負荷[kW],室内機3顕熱比[-],室内機4処理負荷[kW],室内機4顕熱比[-],室内機5処理負荷[kW],室内機5顕熱比[-],室内機6処理負荷[kW],室内機6顕熱比[-],室内機7処理負荷[kW],室内機7顕熱比[-],室内機8処理負荷[kW],室内機8顕熱比[-],室内機9処理負荷[kW],室内機9顕熱比[-],室内機10処理負荷[kW],室内機10顕熱比[-],室内機11処理負荷[kW],室内機11顕熱比[-],室内機12処理負荷[kW],室内機12顕熱比[-],室内機13処理負荷[kW],室内機13顕熱比[-],室内機14処理負荷[kW],室内機14顕熱比[-],室内機15処理負荷[kW],室内機15顕熱比[-],室内機16処理負荷[kW],室内機16顕熱比[-]
0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0,0,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000
0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0,0,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000
0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0,0,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000
0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0,0,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000
0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.00,0,0,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000,-0.00,0.000
2.90,2.90,0.007,1.103,1.654,2.12,1.65,1.12,1.37,0.59,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.41,1.000,0.39,1.000,0.35,1.000,0.35,1.000,0.36,1.000,0.39,1.000,0.00,0.000,0.65,1.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
16.10,16.10,0.041,1.102,1.659,4.56,1.65,1.12,3.53,2.20,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,2.08,1.000,2.21,1.000,2.07,1.000,2.14,1.000,2.25,1.000,2.22,1.000,0.00,0.000,3.12,1.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000
12.60,12.60,0.033,1.102,1.676,3.75,1.65,1.12,3.36,1.93,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,1.54,1.000,1.57,1.000,1.62,1.000,1.59,1.000,1.67,1.000,0.00,0.000,0.00,0.000,2.21,1.000,0.00,0.000,0.00,0.000,1.16,1.000,1.25,1.000
16.80,16.80,0.047,1.102,1.721,5.22,1.65,1.12,3.22,2.10,0.00,0.000,0.00,0.000,0.00,0.000,1.15,1.000,1.61,1.000,1.86,1.000,2.35,1.000,1.87,1.000,2.05,1.000,0.00,0.000,0.00,0.000,2.85,1.000,1.29,1.000,0.00,0.000,0.00,0.000,1.78,1.000
21.70,21.70,0.070,1.100,1.812,7.40,1.65,1.12,2.93,2.13,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,4.26,1.000,4.27,1.000,0.00,0.000,0.00,0.000,2.47,1.000,5.65,1.000,2.31,1.000,0.00,0.000,0.00,0.000,2.74,1.000
16.90,16.90,0.055,1.102,1.816,5.95,1.65,1.12,2.84,1.94,0.00,0.000,0.00,0.000,0.00,0.000,1.78,1.000,0.00,0.000,0.00,0.000,3.23,1.000,3.58,1.000,0.00,0.000,0.00,0.000,0.00,0.000,4.24,1.000,1.76,1.000,0.00,0.000,0.00,0.000,2.30,1.000
19.80,19.80,0.068,1.102,1.867,7.27,1.65,1.12,2.72,1.97,0.00,0.000,0.00,0.000,0.00,0.000,1.68,1.000,0.00,0.000,2.87,1.000,3.30,1.000,3.50,1.000,0.00,0.000,0.00,0.000,0.00,0.000,4.26,1.000,1.87,1.000,0.00,0.000,0.00,0.000,2.32,1.000
23.30,23.30,0.080,1.102,1.858,8.26,1.65,1.12,2.82,2.11,0.00,0.000,0.00,0.000,0.00,0.000,1.65,1.000,2.09,1.000,2.05,1.000,2.33,1.000,2.34,1.000,2.10,1.000,2.10,1.000,0.00,0.000,3.22,1.000,1.40,1.000,0.00,0.000,1.90,1.000,2.12,1.000
16.50,16.50,0.055,1.102,1.834,5.95,1.65,1.12,2.77,1.89,0.00,0.000,0.00,0.000,0.00,0.000,1.30,1.000,1.69,1.000,1.74,1.000,1.75,1.000,1.77,1.000,1.72,1.000,1.56,1.000,0.00,0.000,2.61,1.000,1.04,1.000,0.00,0.000,1.32,1.000,0.00,0.000
