室内機風量[m3/min],ファン消費電力[kW],冷房能力[kW],ファン消費電力[kW],暖房能力[kW],,,,,,,,,,,,
28.0,0.093,11.2,0.093,12.5,,,,,,,,,,,,
室外機風量[m3/min],ファン動力[kW],定格能力[kW],定格消費電力[kW],中間能力[kW],中間消費電力[kW],中間中温能力[kW],中間中温消費電力[kW],100m時の配管長補正（冷房）[-],室外機風量[m3/min],ファン動力[kW],定格能力[kW],定格消費電力[kW],中間能力[kW],中間消費電力[kW],100m時の配管長補正（暖房）[-],下限負荷率[-]
809.00,1.65,118.00,36.40,53.10,10.60,55.40,8.28,0.91,809.00,1.65,132.00,37.80,59.40,11.80,1.00,0.03
室内機風量[m3/min],ファン消費電力[kW],冷房能力[kW],ファン消費電力[kW],暖房能力[kW],,,,,,,,,,,,
16.0,0.060,7.1,0.060,8.0,,,,,,,,,,,,
28.0,0.093,11.2,0.093,12.5,,,,,,,,,,,,
16.0,0.060,7.1,0.060,8.0,,,,,,,,,,,,
15.0,0.056,5.6,0.056,6.3,,,,,,,,,,,,
16.0,0.060,7.1,0.060,8.0,,,,,,,,,,,,
16.0,0.060,7.1,0.060,8.0,,,,,,,,,,,,
16.0,0.060,7.1,0.060,8.0,,,,,,,,,,,,
16.0,0.060,7.1,0.060,8.0,,,,,,,,,,,,
16.0,0.060,7.1,0.060,8.0,,,,,,,,,,,,
16.0,0.060,7.1,0.060,8.0,,,,,,,,,,,,
15.0,0.056,5.6,0.056,6.3,,,,,,,,,,,,
32.0,0.146,14.0,0.146,16.0,,,,,,,,,,,,
15.0,0.056,5.6,0.056,6.3,,,,,,,,,,,,
28.0,0.093,11.2,0.093,12.5,,,,,,,,,,,,
17.5,0.068,8.0,0.068,9.0,,,,,,,,,,,,
17.5,0.068,8.0,0.068,9.0,,,,,,,,,,,,
